,gsm,score,gse,title,source_name,characteristics,geo_summary,geo_design,pubmed_ids,tissue,species,archs4_index,geo_platform_biopython,geo_taxon_biopython,geo_entry_type_biopython,geo_gds_type_biopython,geo_pdat_biopython,geo_n_samples_biopython,geo_ftp_link_biopython,pubmed_title_biopython,pubmed_journal_biopython,pubmed_pub_date_biopython,pubmed_doi_biopython,sample_name,spaceflight
80,GSM3832699,0.9977785348892212,GSE131954,"Spaceflight causes changes in gene expression, photoreceptor integrity, and oxidative stress-related damage in the murine retina",,,"Purpose:The purpose of this study was to determine whether the spaceflight environment induces oxidative damage on ocular structure and how gene expression profiles change during spaceflight. Methods: RNA sequencing, immunofluorescence, and microCT assays were performed on two groups of mice to assess the effects of spaceflight on the mammalian retina. Ten week old adult C57BL/6 mice was flown aboard the ISS for 35 days and returned to Earth alive. Ground control mice were maintained on Earth in identical flight hardware. Within 38 (+/-4) hours of splashdown, mice were euthanized and ocular tissues were collected for analysis. Results:RNA sequencing detected 600 differentially expressed genes in spaceflight retina. This set of differentially expressed genes is enriched for genes related to visual perception, the phototransduction pathway, and numerous retina and photoreceptor phenotype categories. Eleven of the differentially expressed genes are associated with the disease retinitis pigmentosa, a retinal disease characterized by dystrophy of the rods and cones of the photoreceptor layer. Analysis of differentially expressed transcription factors indicate changes in chromatin structure, offering clues to the causes of the phenotypic changes observed. Additionally, immunofluorescence assays showed degradation of cone photoreceptors and increased oxidative stress in the retina. Retinal thickness, as well as thickness of the retinal pigment epithelium and choroid layers, were significantly reduced after spaceflight. Conclusions: These results indicate that retinal performance may decrease over extended periods of spaceflight and cause visual impairment.",Retinal RNA-Seq libraries of ten week old adult C57BL/6 mice were constructed (Ovation® Mouse RNA-Seq System; Nugen) and sequencing performed on  Illumina HiSeq 4000,31527661,,,258081,GPL21103,Mus musculus,GSE,Expression profiling by high throughput sequencing,2019/05/31,16,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE131nnn/GSE131954/,"Spaceflight influences gene expression, photoreceptor integrity, and oxidative stress-related damage in the murine retina.",Scientific reports,2019 Sep 16,10.1038/s41598-019-49453-x,OSD-255|GSM3932701,Space Flight
81,GSM5208753,0.9974575042724609,GSE169527,Inhibition of epigenetic modifiers LSD1 and HDAC1 blocks rod photoreceptor death in mouse models of Retinitis Pigmentosa.,,,"In retinitis pigmentosa mouse models inhibitors of histone modification enzymes LSD1and HDAC1 blocked rod degeneration, preserved vision and affected the expression of multiple genes including maintenance of rod-specific transcripts and downregulation those involved in inflammation, gliosis and cell death.","Total 11 samples of mouse retina at PN24: 2 wild type controls C57Bl/6J, 3 rd10 B6.CXB1-Pde6brd10/Jrd10, 3 wild type treated with GSK2879552 (LSD1 inhibitor) from PN9 till PN24 and 3 rd10 treated with GSK2879552  from PN9 till PN24",34193554,,,477798,GPL24247,Mus musculus,GSE,Expression profiling by high throughput sequencing,2021/08/11,11,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE169nnn/GSE169527/,Inhibition of Epigenetic Modifiers LSD1 and HDAC1 Blocks Rod Photoreceptor Death in Mouse Models of Retinitis Pigmentosa.,The Journal of neuroscience : the official journal of the Society for Neuroscience,2021 Aug 4,10.1523/JNEUROSCI.3102-20.2021,OSD-255|GSM3932701,Space Flight
82,GSM3580735,0.9973978996276855,GSE125708,Hypoxia tolerance in the Norrin-deficient retina and the chronically hypoxic brain stuied at single-cell resolution,,,"The mammalian central nervous system (CNS) is capable of tolerating chronic hypoxia, but cell type-specific responses to this stress have not been systematically characterized.  In the Norrin-knockout (NdpKO) mouse, a model of familial exudative vitreoretinopathy (FEVR), developmental hypovascularization of the retina produces chronic hypoxia of inner nuclear layer (INL) neurons and Muller glia.  We have used single-cell RNA sequencing, untargeted metabolomics, and metabolite labeling from 13C-glucose to compare wild type and NdpKO retinas.  In NdpKO retinas, we observe gene expression responses consistent with hypoxia in Muller glia and retinal neurons, and we find a metabolic shift that combines reduced flux through the tricarboxylic acid cycle with increased synthesis of serine, glycine, and glutathione.  We also used single-cell RNA sequencing to compare the responses of individual cell types in NdpKO retinas to those in the hypoxic cerebral cortex of mice that were housed for one week in a reduced oxygen environment (7.5% oxygen).  In the hypoxic cerebral cortex, glial transcriptome responses most closely resemble the response of Muller glia in the NdpKO retina.  In both retina and brain, vascular endothelial cells activate a previously dormant tip cell gene expression program, which likely underlies the adaptive neo-angiogenic response to chronic hypoxia.  These analyses of retina and brain transcriptomes at single-cell resolution reveal both shared and cell-type-specific changes in gene expression in response to chronic hypoxia, implying both shared and distinct cell type-specific physiologic responses.",Single-cell RNAseq of NdpKO and WT retinas as well as normoxic and hypoxic cerebral cortices; Ribotag RNA-seq of NdpKO and WT retinas; RNA-seq of normoxic and hypoxic whole brains.,30988181,,,233042,GPL19057; GPL17021,Mus musculus,GSE,Expression profiling by high throughput sequencing,2019/04/19,23,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE125nnn/GSE125708/,Hypoxia tolerance in the Norrin-deficient retina and the chronically hypoxic brain studied at single-cell resolution.,Proceedings of the National Academy of Sciences of the United States of America,2019 Apr 30,10.1073/pnas.1821122116,OSD-255|GSM3932701,Space Flight
83,GSM3832693,0.9973933696746826,GSE131954,"Spaceflight causes changes in gene expression, photoreceptor integrity, and oxidative stress-related damage in the murine retina",,,"Purpose:The purpose of this study was to determine whether the spaceflight environment induces oxidative damage on ocular structure and how gene expression profiles change during spaceflight. Methods: RNA sequencing, immunofluorescence, and microCT assays were performed on two groups of mice to assess the effects of spaceflight on the mammalian retina. Ten week old adult C57BL/6 mice was flown aboard the ISS for 35 days and returned to Earth alive. Ground control mice were maintained on Earth in identical flight hardware. Within 38 (+/-4) hours of splashdown, mice were euthanized and ocular tissues were collected for analysis. Results:RNA sequencing detected 600 differentially expressed genes in spaceflight retina. This set of differentially expressed genes is enriched for genes related to visual perception, the phototransduction pathway, and numerous retina and photoreceptor phenotype categories. Eleven of the differentially expressed genes are associated with the disease retinitis pigmentosa, a retinal disease characterized by dystrophy of the rods and cones of the photoreceptor layer. Analysis of differentially expressed transcription factors indicate changes in chromatin structure, offering clues to the causes of the phenotypic changes observed. Additionally, immunofluorescence assays showed degradation of cone photoreceptors and increased oxidative stress in the retina. Retinal thickness, as well as thickness of the retinal pigment epithelium and choroid layers, were significantly reduced after spaceflight. Conclusions: These results indicate that retinal performance may decrease over extended periods of spaceflight and cause visual impairment.",Retinal RNA-Seq libraries of ten week old adult C57BL/6 mice were constructed (Ovation® Mouse RNA-Seq System; Nugen) and sequencing performed on  Illumina HiSeq 4000,31527661,,,258075,GPL21103,Mus musculus,GSE,Expression profiling by high throughput sequencing,2019/05/31,16,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE131nnn/GSE131954/,"Spaceflight influences gene expression, photoreceptor integrity, and oxidative stress-related damage in the murine retina.",Scientific reports,2019 Sep 16,10.1038/s41598-019-49453-x,OSD-255|GSM3932701,Space Flight
84,GSM3832698,0.9973217248916626,GSE131954,"Spaceflight causes changes in gene expression, photoreceptor integrity, and oxidative stress-related damage in the murine retina",,,"Purpose:The purpose of this study was to determine whether the spaceflight environment induces oxidative damage on ocular structure and how gene expression profiles change during spaceflight. Methods: RNA sequencing, immunofluorescence, and microCT assays were performed on two groups of mice to assess the effects of spaceflight on the mammalian retina. Ten week old adult C57BL/6 mice was flown aboard the ISS for 35 days and returned to Earth alive. Ground control mice were maintained on Earth in identical flight hardware. Within 38 (+/-4) hours of splashdown, mice were euthanized and ocular tissues were collected for analysis. Results:RNA sequencing detected 600 differentially expressed genes in spaceflight retina. This set of differentially expressed genes is enriched for genes related to visual perception, the phototransduction pathway, and numerous retina and photoreceptor phenotype categories. Eleven of the differentially expressed genes are associated with the disease retinitis pigmentosa, a retinal disease characterized by dystrophy of the rods and cones of the photoreceptor layer. Analysis of differentially expressed transcription factors indicate changes in chromatin structure, offering clues to the causes of the phenotypic changes observed. Additionally, immunofluorescence assays showed degradation of cone photoreceptors and increased oxidative stress in the retina. Retinal thickness, as well as thickness of the retinal pigment epithelium and choroid layers, were significantly reduced after spaceflight. Conclusions: These results indicate that retinal performance may decrease over extended periods of spaceflight and cause visual impairment.",Retinal RNA-Seq libraries of ten week old adult C57BL/6 mice were constructed (Ovation® Mouse RNA-Seq System; Nugen) and sequencing performed on  Illumina HiSeq 4000,31527661,,,258080,GPL21103,Mus musculus,GSE,Expression profiling by high throughput sequencing,2019/05/31,16,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE131nnn/GSE131954/,"Spaceflight influences gene expression, photoreceptor integrity, and oxidative stress-related damage in the murine retina.",Scientific reports,2019 Sep 16,10.1038/s41598-019-49453-x,OSD-255|GSM3932701,Space Flight
85,GSM3832707,0.9972425699234009,GSE131954,"Spaceflight causes changes in gene expression, photoreceptor integrity, and oxidative stress-related damage in the murine retina",,,"Purpose:The purpose of this study was to determine whether the spaceflight environment induces oxidative damage on ocular structure and how gene expression profiles change during spaceflight. Methods: RNA sequencing, immunofluorescence, and microCT assays were performed on two groups of mice to assess the effects of spaceflight on the mammalian retina. Ten week old adult C57BL/6 mice was flown aboard the ISS for 35 days and returned to Earth alive. Ground control mice were maintained on Earth in identical flight hardware. Within 38 (+/-4) hours of splashdown, mice were euthanized and ocular tissues were collected for analysis. Results:RNA sequencing detected 600 differentially expressed genes in spaceflight retina. This set of differentially expressed genes is enriched for genes related to visual perception, the phototransduction pathway, and numerous retina and photoreceptor phenotype categories. Eleven of the differentially expressed genes are associated with the disease retinitis pigmentosa, a retinal disease characterized by dystrophy of the rods and cones of the photoreceptor layer. Analysis of differentially expressed transcription factors indicate changes in chromatin structure, offering clues to the causes of the phenotypic changes observed. Additionally, immunofluorescence assays showed degradation of cone photoreceptors and increased oxidative stress in the retina. Retinal thickness, as well as thickness of the retinal pigment epithelium and choroid layers, were significantly reduced after spaceflight. Conclusions: These results indicate that retinal performance may decrease over extended periods of spaceflight and cause visual impairment.",Retinal RNA-Seq libraries of ten week old adult C57BL/6 mice were constructed (Ovation® Mouse RNA-Seq System; Nugen) and sequencing performed on  Illumina HiSeq 4000,31527661,,,258089,GPL21103,Mus musculus,GSE,Expression profiling by high throughput sequencing,2019/05/31,16,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE131nnn/GSE131954/,"Spaceflight influences gene expression, photoreceptor integrity, and oxidative stress-related damage in the murine retina.",Scientific reports,2019 Sep 16,10.1038/s41598-019-49453-x,OSD-255|GSM3932701,Space Flight
86,GSM3832695,0.9971433877944946,GSE131954,"Spaceflight causes changes in gene expression, photoreceptor integrity, and oxidative stress-related damage in the murine retina",,,"Purpose:The purpose of this study was to determine whether the spaceflight environment induces oxidative damage on ocular structure and how gene expression profiles change during spaceflight. Methods: RNA sequencing, immunofluorescence, and microCT assays were performed on two groups of mice to assess the effects of spaceflight on the mammalian retina. Ten week old adult C57BL/6 mice was flown aboard the ISS for 35 days and returned to Earth alive. Ground control mice were maintained on Earth in identical flight hardware. Within 38 (+/-4) hours of splashdown, mice were euthanized and ocular tissues were collected for analysis. Results:RNA sequencing detected 600 differentially expressed genes in spaceflight retina. This set of differentially expressed genes is enriched for genes related to visual perception, the phototransduction pathway, and numerous retina and photoreceptor phenotype categories. Eleven of the differentially expressed genes are associated with the disease retinitis pigmentosa, a retinal disease characterized by dystrophy of the rods and cones of the photoreceptor layer. Analysis of differentially expressed transcription factors indicate changes in chromatin structure, offering clues to the causes of the phenotypic changes observed. Additionally, immunofluorescence assays showed degradation of cone photoreceptors and increased oxidative stress in the retina. Retinal thickness, as well as thickness of the retinal pigment epithelium and choroid layers, were significantly reduced after spaceflight. Conclusions: These results indicate that retinal performance may decrease over extended periods of spaceflight and cause visual impairment.",Retinal RNA-Seq libraries of ten week old adult C57BL/6 mice were constructed (Ovation® Mouse RNA-Seq System; Nugen) and sequencing performed on  Illumina HiSeq 4000,31527661,,,258077,GPL21103,Mus musculus,GSE,Expression profiling by high throughput sequencing,2019/05/31,16,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE131nnn/GSE131954/,"Spaceflight influences gene expression, photoreceptor integrity, and oxidative stress-related damage in the murine retina.",Scientific reports,2019 Sep 16,10.1038/s41598-019-49453-x,OSD-255|GSM3932701,Space Flight
87,GSM5918347,0.9971194267272949,GSE197510,Cell-specific Studies Through Novel Mouse Model Reveal the Transcriptomic Response of Retinal Müller Glia to Acute and Chronic Stress,,,This SuperSeries is composed of the SubSeries listed below.,Refer to individual Series,36423879,,,610670,GPL24247,Mus musculus,GSE,Expression profiling by high throughput sequencing; Methylation profiling by high throughput sequencing,2022/11/15,46,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE197nnn/GSE197510/,Translatomic response of retinal Müller glia to acute and chronic stress.,Neurobiology of disease,2022 Dec,10.1016/j.nbd.2022.105931,OSD-255|GSM3932701,Space Flight
88,GSM3832701,0.9970885515213013,GSE131954,"Spaceflight causes changes in gene expression, photoreceptor integrity, and oxidative stress-related damage in the murine retina",,,"Purpose:The purpose of this study was to determine whether the spaceflight environment induces oxidative damage on ocular structure and how gene expression profiles change during spaceflight. Methods: RNA sequencing, immunofluorescence, and microCT assays were performed on two groups of mice to assess the effects of spaceflight on the mammalian retina. Ten week old adult C57BL/6 mice was flown aboard the ISS for 35 days and returned to Earth alive. Ground control mice were maintained on Earth in identical flight hardware. Within 38 (+/-4) hours of splashdown, mice were euthanized and ocular tissues were collected for analysis. Results:RNA sequencing detected 600 differentially expressed genes in spaceflight retina. This set of differentially expressed genes is enriched for genes related to visual perception, the phototransduction pathway, and numerous retina and photoreceptor phenotype categories. Eleven of the differentially expressed genes are associated with the disease retinitis pigmentosa, a retinal disease characterized by dystrophy of the rods and cones of the photoreceptor layer. Analysis of differentially expressed transcription factors indicate changes in chromatin structure, offering clues to the causes of the phenotypic changes observed. Additionally, immunofluorescence assays showed degradation of cone photoreceptors and increased oxidative stress in the retina. Retinal thickness, as well as thickness of the retinal pigment epithelium and choroid layers, were significantly reduced after spaceflight. Conclusions: These results indicate that retinal performance may decrease over extended periods of spaceflight and cause visual impairment.",Retinal RNA-Seq libraries of ten week old adult C57BL/6 mice were constructed (Ovation® Mouse RNA-Seq System; Nugen) and sequencing performed on  Illumina HiSeq 4000,31527661,,,258083,GPL21103,Mus musculus,GSE,Expression profiling by high throughput sequencing,2019/05/31,16,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE131nnn/GSE131954/,"Spaceflight influences gene expression, photoreceptor integrity, and oxidative stress-related damage in the murine retina.",Scientific reports,2019 Sep 16,10.1038/s41598-019-49453-x,OSD-255|GSM3932701,Space Flight
89,GSM3832704,0.997055172920227,GSE131954,"Spaceflight causes changes in gene expression, photoreceptor integrity, and oxidative stress-related damage in the murine retina",,,"Purpose:The purpose of this study was to determine whether the spaceflight environment induces oxidative damage on ocular structure and how gene expression profiles change during spaceflight. Methods: RNA sequencing, immunofluorescence, and microCT assays were performed on two groups of mice to assess the effects of spaceflight on the mammalian retina. Ten week old adult C57BL/6 mice was flown aboard the ISS for 35 days and returned to Earth alive. Ground control mice were maintained on Earth in identical flight hardware. Within 38 (+/-4) hours of splashdown, mice were euthanized and ocular tissues were collected for analysis. Results:RNA sequencing detected 600 differentially expressed genes in spaceflight retina. This set of differentially expressed genes is enriched for genes related to visual perception, the phototransduction pathway, and numerous retina and photoreceptor phenotype categories. Eleven of the differentially expressed genes are associated with the disease retinitis pigmentosa, a retinal disease characterized by dystrophy of the rods and cones of the photoreceptor layer. Analysis of differentially expressed transcription factors indicate changes in chromatin structure, offering clues to the causes of the phenotypic changes observed. Additionally, immunofluorescence assays showed degradation of cone photoreceptors and increased oxidative stress in the retina. Retinal thickness, as well as thickness of the retinal pigment epithelium and choroid layers, were significantly reduced after spaceflight. Conclusions: These results indicate that retinal performance may decrease over extended periods of spaceflight and cause visual impairment.",Retinal RNA-Seq libraries of ten week old adult C57BL/6 mice were constructed (Ovation® Mouse RNA-Seq System; Nugen) and sequencing performed on  Illumina HiSeq 4000,31527661,,,258086,GPL21103,Mus musculus,GSE,Expression profiling by high throughput sequencing,2019/05/31,16,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE131nnn/GSE131954/,"Spaceflight influences gene expression, photoreceptor integrity, and oxidative stress-related damage in the murine retina.",Scientific reports,2019 Sep 16,10.1038/s41598-019-49453-x,OSD-255|GSM3932701,Space Flight
90,GSM3580735,0.997830331325531,GSE125708,Hypoxia tolerance in the Norrin-deficient retina and the chronically hypoxic brain stuied at single-cell resolution,,,"The mammalian central nervous system (CNS) is capable of tolerating chronic hypoxia, but cell type-specific responses to this stress have not been systematically characterized.  In the Norrin-knockout (NdpKO) mouse, a model of familial exudative vitreoretinopathy (FEVR), developmental hypovascularization of the retina produces chronic hypoxia of inner nuclear layer (INL) neurons and Muller glia.  We have used single-cell RNA sequencing, untargeted metabolomics, and metabolite labeling from 13C-glucose to compare wild type and NdpKO retinas.  In NdpKO retinas, we observe gene expression responses consistent with hypoxia in Muller glia and retinal neurons, and we find a metabolic shift that combines reduced flux through the tricarboxylic acid cycle with increased synthesis of serine, glycine, and glutathione.  We also used single-cell RNA sequencing to compare the responses of individual cell types in NdpKO retinas to those in the hypoxic cerebral cortex of mice that were housed for one week in a reduced oxygen environment (7.5% oxygen).  In the hypoxic cerebral cortex, glial transcriptome responses most closely resemble the response of Muller glia in the NdpKO retina.  In both retina and brain, vascular endothelial cells activate a previously dormant tip cell gene expression program, which likely underlies the adaptive neo-angiogenic response to chronic hypoxia.  These analyses of retina and brain transcriptomes at single-cell resolution reveal both shared and cell-type-specific changes in gene expression in response to chronic hypoxia, implying both shared and distinct cell type-specific physiologic responses.",Single-cell RNAseq of NdpKO and WT retinas as well as normoxic and hypoxic cerebral cortices; Ribotag RNA-seq of NdpKO and WT retinas; RNA-seq of normoxic and hypoxic whole brains.,30988181,,,233042,GPL19057; GPL17021,Mus musculus,GSE,Expression profiling by high throughput sequencing,2019/04/19,23,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE125nnn/GSE125708/,Hypoxia tolerance in the Norrin-deficient retina and the chronically hypoxic brain studied at single-cell resolution.,Proceedings of the National Academy of Sciences of the United States of America,2019 Apr 30,10.1073/pnas.1821122116,OSD-255|GSM3932702,Space Flight
91,GSM3580734,0.9975559711456299,GSE125708,Hypoxia tolerance in the Norrin-deficient retina and the chronically hypoxic brain stuied at single-cell resolution,,,"The mammalian central nervous system (CNS) is capable of tolerating chronic hypoxia, but cell type-specific responses to this stress have not been systematically characterized.  In the Norrin-knockout (NdpKO) mouse, a model of familial exudative vitreoretinopathy (FEVR), developmental hypovascularization of the retina produces chronic hypoxia of inner nuclear layer (INL) neurons and Muller glia.  We have used single-cell RNA sequencing, untargeted metabolomics, and metabolite labeling from 13C-glucose to compare wild type and NdpKO retinas.  In NdpKO retinas, we observe gene expression responses consistent with hypoxia in Muller glia and retinal neurons, and we find a metabolic shift that combines reduced flux through the tricarboxylic acid cycle with increased synthesis of serine, glycine, and glutathione.  We also used single-cell RNA sequencing to compare the responses of individual cell types in NdpKO retinas to those in the hypoxic cerebral cortex of mice that were housed for one week in a reduced oxygen environment (7.5% oxygen).  In the hypoxic cerebral cortex, glial transcriptome responses most closely resemble the response of Muller glia in the NdpKO retina.  In both retina and brain, vascular endothelial cells activate a previously dormant tip cell gene expression program, which likely underlies the adaptive neo-angiogenic response to chronic hypoxia.  These analyses of retina and brain transcriptomes at single-cell resolution reveal both shared and cell-type-specific changes in gene expression in response to chronic hypoxia, implying both shared and distinct cell type-specific physiologic responses.",Single-cell RNAseq of NdpKO and WT retinas as well as normoxic and hypoxic cerebral cortices; Ribotag RNA-seq of NdpKO and WT retinas; RNA-seq of normoxic and hypoxic whole brains.,30988181,,,233041,GPL19057; GPL17021,Mus musculus,GSE,Expression profiling by high throughput sequencing,2019/04/19,23,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE125nnn/GSE125708/,Hypoxia tolerance in the Norrin-deficient retina and the chronically hypoxic brain studied at single-cell resolution.,Proceedings of the National Academy of Sciences of the United States of America,2019 Apr 30,10.1073/pnas.1821122116,OSD-255|GSM3932702,Space Flight
92,GSM3832696,0.9974694848060608,GSE131954,"Spaceflight causes changes in gene expression, photoreceptor integrity, and oxidative stress-related damage in the murine retina",,,"Purpose:The purpose of this study was to determine whether the spaceflight environment induces oxidative damage on ocular structure and how gene expression profiles change during spaceflight. Methods: RNA sequencing, immunofluorescence, and microCT assays were performed on two groups of mice to assess the effects of spaceflight on the mammalian retina. Ten week old adult C57BL/6 mice was flown aboard the ISS for 35 days and returned to Earth alive. Ground control mice were maintained on Earth in identical flight hardware. Within 38 (+/-4) hours of splashdown, mice were euthanized and ocular tissues were collected for analysis. Results:RNA sequencing detected 600 differentially expressed genes in spaceflight retina. This set of differentially expressed genes is enriched for genes related to visual perception, the phototransduction pathway, and numerous retina and photoreceptor phenotype categories. Eleven of the differentially expressed genes are associated with the disease retinitis pigmentosa, a retinal disease characterized by dystrophy of the rods and cones of the photoreceptor layer. Analysis of differentially expressed transcription factors indicate changes in chromatin structure, offering clues to the causes of the phenotypic changes observed. Additionally, immunofluorescence assays showed degradation of cone photoreceptors and increased oxidative stress in the retina. Retinal thickness, as well as thickness of the retinal pigment epithelium and choroid layers, were significantly reduced after spaceflight. Conclusions: These results indicate that retinal performance may decrease over extended periods of spaceflight and cause visual impairment.",Retinal RNA-Seq libraries of ten week old adult C57BL/6 mice were constructed (Ovation® Mouse RNA-Seq System; Nugen) and sequencing performed on  Illumina HiSeq 4000,31527661,,,258078,GPL21103,Mus musculus,GSE,Expression profiling by high throughput sequencing,2019/05/31,16,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE131nnn/GSE131954/,"Spaceflight influences gene expression, photoreceptor integrity, and oxidative stress-related damage in the murine retina.",Scientific reports,2019 Sep 16,10.1038/s41598-019-49453-x,OSD-255|GSM3932702,Space Flight
93,GSM3832702,0.9971871376037598,GSE131954,"Spaceflight causes changes in gene expression, photoreceptor integrity, and oxidative stress-related damage in the murine retina",,,"Purpose:The purpose of this study was to determine whether the spaceflight environment induces oxidative damage on ocular structure and how gene expression profiles change during spaceflight. Methods: RNA sequencing, immunofluorescence, and microCT assays were performed on two groups of mice to assess the effects of spaceflight on the mammalian retina. Ten week old adult C57BL/6 mice was flown aboard the ISS for 35 days and returned to Earth alive. Ground control mice were maintained on Earth in identical flight hardware. Within 38 (+/-4) hours of splashdown, mice were euthanized and ocular tissues were collected for analysis. Results:RNA sequencing detected 600 differentially expressed genes in spaceflight retina. This set of differentially expressed genes is enriched for genes related to visual perception, the phototransduction pathway, and numerous retina and photoreceptor phenotype categories. Eleven of the differentially expressed genes are associated with the disease retinitis pigmentosa, a retinal disease characterized by dystrophy of the rods and cones of the photoreceptor layer. Analysis of differentially expressed transcription factors indicate changes in chromatin structure, offering clues to the causes of the phenotypic changes observed. Additionally, immunofluorescence assays showed degradation of cone photoreceptors and increased oxidative stress in the retina. Retinal thickness, as well as thickness of the retinal pigment epithelium and choroid layers, were significantly reduced after spaceflight. Conclusions: These results indicate that retinal performance may decrease over extended periods of spaceflight and cause visual impairment.",Retinal RNA-Seq libraries of ten week old adult C57BL/6 mice were constructed (Ovation® Mouse RNA-Seq System; Nugen) and sequencing performed on  Illumina HiSeq 4000,31527661,,,258084,GPL21103,Mus musculus,GSE,Expression profiling by high throughput sequencing,2019/05/31,16,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE131nnn/GSE131954/,"Spaceflight influences gene expression, photoreceptor integrity, and oxidative stress-related damage in the murine retina.",Scientific reports,2019 Sep 16,10.1038/s41598-019-49453-x,OSD-255|GSM3932702,Space Flight
94,GSM3832700,0.9970810413360596,GSE131954,"Spaceflight causes changes in gene expression, photoreceptor integrity, and oxidative stress-related damage in the murine retina",,,"Purpose:The purpose of this study was to determine whether the spaceflight environment induces oxidative damage on ocular structure and how gene expression profiles change during spaceflight. Methods: RNA sequencing, immunofluorescence, and microCT assays were performed on two groups of mice to assess the effects of spaceflight on the mammalian retina. Ten week old adult C57BL/6 mice was flown aboard the ISS for 35 days and returned to Earth alive. Ground control mice were maintained on Earth in identical flight hardware. Within 38 (+/-4) hours of splashdown, mice were euthanized and ocular tissues were collected for analysis. Results:RNA sequencing detected 600 differentially expressed genes in spaceflight retina. This set of differentially expressed genes is enriched for genes related to visual perception, the phototransduction pathway, and numerous retina and photoreceptor phenotype categories. Eleven of the differentially expressed genes are associated with the disease retinitis pigmentosa, a retinal disease characterized by dystrophy of the rods and cones of the photoreceptor layer. Analysis of differentially expressed transcription factors indicate changes in chromatin structure, offering clues to the causes of the phenotypic changes observed. Additionally, immunofluorescence assays showed degradation of cone photoreceptors and increased oxidative stress in the retina. Retinal thickness, as well as thickness of the retinal pigment epithelium and choroid layers, were significantly reduced after spaceflight. Conclusions: These results indicate that retinal performance may decrease over extended periods of spaceflight and cause visual impairment.",Retinal RNA-Seq libraries of ten week old adult C57BL/6 mice were constructed (Ovation® Mouse RNA-Seq System; Nugen) and sequencing performed on  Illumina HiSeq 4000,31527661,,,258082,GPL21103,Mus musculus,GSE,Expression profiling by high throughput sequencing,2019/05/31,16,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE131nnn/GSE131954/,"Spaceflight influences gene expression, photoreceptor integrity, and oxidative stress-related damage in the murine retina.",Scientific reports,2019 Sep 16,10.1038/s41598-019-49453-x,OSD-255|GSM3932702,Space Flight
95,GSM3832704,0.9970039129257202,GSE131954,"Spaceflight causes changes in gene expression, photoreceptor integrity, and oxidative stress-related damage in the murine retina",,,"Purpose:The purpose of this study was to determine whether the spaceflight environment induces oxidative damage on ocular structure and how gene expression profiles change during spaceflight. Methods: RNA sequencing, immunofluorescence, and microCT assays were performed on two groups of mice to assess the effects of spaceflight on the mammalian retina. Ten week old adult C57BL/6 mice was flown aboard the ISS for 35 days and returned to Earth alive. Ground control mice were maintained on Earth in identical flight hardware. Within 38 (+/-4) hours of splashdown, mice were euthanized and ocular tissues were collected for analysis. Results:RNA sequencing detected 600 differentially expressed genes in spaceflight retina. This set of differentially expressed genes is enriched for genes related to visual perception, the phototransduction pathway, and numerous retina and photoreceptor phenotype categories. Eleven of the differentially expressed genes are associated with the disease retinitis pigmentosa, a retinal disease characterized by dystrophy of the rods and cones of the photoreceptor layer. Analysis of differentially expressed transcription factors indicate changes in chromatin structure, offering clues to the causes of the phenotypic changes observed. Additionally, immunofluorescence assays showed degradation of cone photoreceptors and increased oxidative stress in the retina. Retinal thickness, as well as thickness of the retinal pigment epithelium and choroid layers, were significantly reduced after spaceflight. Conclusions: These results indicate that retinal performance may decrease over extended periods of spaceflight and cause visual impairment.",Retinal RNA-Seq libraries of ten week old adult C57BL/6 mice were constructed (Ovation® Mouse RNA-Seq System; Nugen) and sequencing performed on  Illumina HiSeq 4000,31527661,,,258086,GPL21103,Mus musculus,GSE,Expression profiling by high throughput sequencing,2019/05/31,16,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE131nnn/GSE131954/,"Spaceflight influences gene expression, photoreceptor integrity, and oxidative stress-related damage in the murine retina.",Scientific reports,2019 Sep 16,10.1038/s41598-019-49453-x,OSD-255|GSM3932702,Space Flight
